period,full_rms_half_separation_x,full_smoothed_amplitude,full_fit_mask,replay_local_log_factor,replay_cumulative_lambda,mean_local_log_factor,mean_cumulative_lambda
156.0,1.506025125701236e-08,1.495460944751019e-08,1,-1.8425263288160807,-1.8845832852640798,-1.8414420640274014,-1.884043338423332
157.0,1.465116985483911e-08,1.504706022169028e-08,1,-1.8818435803935696,-1.8845658349145864,-1.8791589275974045,-1.8840122275263516
158.0,1.5668267424339536e-08,1.5137729247019725e-08,1,-1.9233141977171104,-1.8848110777171339,-1.9216534716028246,-1.8842504632483548
159.0,1.4767473383814633e-08,1.5237161465839687e-08,1,-1.9304260189218994,-1.8850979641398053,-1.9307455250950454,-1.8845428850209756
160.0,1.5541484315092973e-08,1.5326106271840813e-08,1,-1.888251608630088,-1.8851176744178695,-1.8901303342599725,-1.8845778065787193
161.0,1.5557412351112164e-08,1.5425074081627054e-08,1,-1.8420121910603129,-1.8848499384963937,-1.84335823519265,-1.884321784396197
162.0,1.509589388484476e-08,1.5520674202946145e-08,1,-1.8436800984195747,-1.8845958036811046,-1.842377391819702,-1.8840628683926384
163.0,1.6163106473270727e-08,1.561395736586611e-08,1,-1.8829770364074154,-1.8845858725935358,-1.8810052678411562,-1.8840441101070464
164.0,1.52454739904101e-08,1.571660188631503e-08,1,-1.9249520772979245,-1.8848320079880747,-1.922883572662784,-1.88428093609824
165.0,1.6007900129692806e-08,1.5808408030834986e-08,1,-1.9297632578770312,-1.8851043185934624,-1.9300118914833,-1.8845580934036037
166.0,1.6070634953356756e-08,1.591028558023064e-08,1,-1.8859316898784853,-1.88510930275783,-1.8886546514065479,-1.8845827714638625
167.0,1.5554924607444548e-08,1.6009166575637868e-08,1,-1.8414707423481445,-1.8848479940128617,-1.842428219084781,-1.884330348994527
168.0,1.6672494220248995e-08,1.6105156356186742e-08,1,-1.8441096908056036,-1.8846055041128185,-1.8433828663259373,-1.8840866139786425
169.0,1.5739878967446223e-08,1.62111018560758e-08,1,-1.8852028762139377,-1.8846090388589791,-1.8828214728328037,-1.8840791279363596
170.0,1.6487849032437183e-08,1.6305880832261495e-08,1,-1.925966187335514,-1.8848523162029587,-1.9240463691517131,-1.8843142293552733
171.0,1.6600362452802045e-08,1.6410760576336706e-08,1,-1.9288977418174427,-1.8851098917913474,-1.929198668105437,-1.8845767114532275
172.0,1.6028819488373028e-08,1.651306032621072e-08,1,-1.8840322809009034,-1.8851036266117518,-1.8860401006893406,-1.8845852195301815
173.0,1.719689294062504e-08,1.6611848029739775e-08,1,-1.8404981091175467,-1.8848457912505137,-1.8414264377555314,-1.8843357468031605
174.0,1.625137771681631e-08,1.672120565101822e-08,1,-1.8455165080673335,-1.8846197608873918,-1.8444796642817263,-1.884106688857635
