period,full_local_log_factor,full_cumulative_lambda,full_rolling_lambda,full_x_rms_projection,phase_only_local_log_factor,phase_only_cumulative_lambda,phase_only_rolling_lambda,phase_only_x_rms_projection,kappa_only_local_log_factor,kappa_only_cumulative_lambda,kappa_only_rolling_lambda,kappa_only_x_rms_projection,open_local_log_factor,open_cumulative_lambda,open_rolling_lambda,open_x_rms_projection
169.0,0.020847554511270013,-0.004435543371236604,0.007058840579434641,0.008528934000760276,-0.14558762861858005,-0.008277317583274211,0.003652936484728969,0.007950744901709142,-0.009300767214534648,-0.07041936139633168,-0.04233173775205157,0.009577092134773096,-1.8806901284311208,-1.8846783462632832,-1.8830907942029733,0.08727697682717055
170.0,-0.13035104358963018,-0.005176222784285978,0.005513195602033255,0.008756003674842998,0.05856394369714814,-0.007884133693389375,0.0029824041639594677,0.009880169425737922,0.03636280189249262,-0.06979123102404448,-0.04465019696768846,0.008769701588083411,-1.922971820970807,-1.884903601996857,-1.8836031869512575,0.08312589964474856
171.0,0.19783353159286193,-0.003989031238220786,0.00626902503399539,0.010043358715549885,0.06968224080409956,-0.007430529164164293,0.0035902822951164983,0.00883994086980124,-0.2223660129570212,-0.07068348121078703,-0.044237670060981005,0.008260577076120464,-1.9306350174077422,-1.8851710371746984,-1.8855975892331684,0.0871385335812598
172.0,-0.1704521143891429,-0.004956839861191263,0.006796880279810286,0.007951595947843367,-0.16940214052726738,-0.008372224579066055,0.003192960888797691,0.00847047160399343,0.15540011684563365,-0.06936904168720319,-0.042990172062159535,0.010080387828870184,-1.8890089699835495,-1.8851933507375405,-1.8868734638514901,0.09606302247169361
173.0,0.10893167577673936,-0.004298524741896866,0.005426699166841598,0.010127254979478768,0.20288123078924278,-0.007151106339942884,0.003244478388363953,0.010259533084824156,-0.18828958003176108,-0.07005644364295208,-0.0456957815079424,0.007812528261612458,-1.8426062789969042,-1.884947182692797,-1.8861685109594426,0.1002876804558358
174.0,0.0289355216480616,-0.004107524475287909,0.007042703135142053,0.008573965146641296,-0.14339512378527836,-0.007934117934456307,0.0036559937759831464,0.007953167273978566,0.007702985279117128,-0.06960955037328502,-0.0422946684658521,0.009665261556951488,-1.8428713335959168,-1.8847053674681022,-1.8843485869407737,0.09531456064392915
175.0,-0.13691290717486002,-0.004866412376428322,0.005545059405703351,0.008709547644421887,0.055119090649094295,-0.007573813885407445,0.002981108806357935,0.00986213417954979,0.02192944680501537,-0.069086470389409,-0.044758809363444826,0.008672076597804113,-1.8823641309460637,-1.8846919889736906,-1.8830727290053104,0.08702007054151228
176.0,0.20009769581326262,-0.003701843579895987,0.006235946086197744,0.01008542555381875,0.07266225479694426,-0.007117927131530447,0.003586510800749204,0.008860189961923984,-0.21399142594486092,-0.06990979400051954,-0.04406502092421154,0.008332823635335208,-1.9240405367777238,-1.8849155602680319,-1.8836582930867394,0.08312262674240063
177.0,-0.1662957099467632,-0.004620452994398062,0.006833342496797121,0.007947913736931884,-0.17114566187739672,-0.008044637497326302,0.0031998587714903047,0.008455138819316099,0.15530239442839075,-0.06863740875515846,-0.043092264411757196,0.010029615835595088,-1.9299276863496422,-1.885169866065103,-1.8856690904610403,0.08741693258151684
178.0,0.10091084867990029,-0.004027580513081779,0.005407678677978783,0.010089148855987724,0.20287308542644525,-0.006859706469664663,0.0032396299667324215,0.010270052494603206,-0.19884869064220784,-0.06936893281070368,-0.04568540489569543,0.007801943448844891,-1.8870289583958775,-1.8851803104040399,-1.8868823296461783,0.09635208864245393
